aIsAgressive, bIsAgressive, score
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 2,
true, true, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 2,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 8,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 11,
false, false, 0,
false, false, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 0,
true, true, 3,
true, true, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 3,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 5,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 7,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 4,
false, false, 7,
false, false, 7,
